epoch,step,train_loss
0,49,10.277853965759277
1,99,8.924864768981934
2,149,8.599156379699707
3,199,8.578756332397461
4,249,8.295572280883789
5,299,8.259695053100586
6,349,8.249112129211426
7,399,8.055024147033691
8,449,8.113164901733398
9,499,7.744375228881836
10,549,7.7567644119262695
11,599,7.713544845581055
12,649,7.609739303588867
13,699,7.654224872589111
14,749,7.527833461761475
15,799,7.745851039886475
16,849,7.37321662902832
17,899,7.784418106079102
18,949,7.430851459503174
19,999,7.317397594451904
